,sn,Unnamed: 0,hindi,english
765,765,765,कमीने 112,Bastard 112
766,766,766,वही 112,Same 112
767,767,767,भेजा 112,Sent 112
768,768,768,होंगे 111,Will be 111
769,769,769,देगा 111,Will give 111
770,770,770,जानती 111,Know 111
771,771,771,गधे 111,Ass 111
772,772,772,रंग 111,Color 111
773,773,773,मृत 110,Dead 110
774,774,774,शांति 110,Shanti 110
775,775,775,आश्चर्य 110,Surprise 110
776,776,776,बेवकूफ 110,Stupid 110
777,777,777,शरीर 109,Body 109
778,778,778,इच्छा 109,Desire 109
779,779,779,टीम 109,Team 109
780,780,780,बताना 109,Tell 109
781,781,781,बचा 108,Save 108
782,782,782,होते 108,Having 108
783,783,783,कहो 108,Say 108
784,784,784,आना 108,Come 108
785,785,785,लाइन 108,Line 108
786,786,786,मरने 108,Die 108
787,787,787,व्यापार 108,Business 108
788,788,788,कितनी 108,How many 108
789,789,789,सं 107,No. 107
790,790,790,दुश्मन 107,Enemy 107
791,791,791,तेजी 107,Quick 107
792,792,792,स्वीकार 107,Accept 107
793,793,793,जिस 107,Jin 107
794,794,794,जीवित 107,Live 107
795,795,795,बाकी 107,The rest 107
796,796,796,पार 106,Cross 106
797,797,797,दस 106,Ten 106
798,798,798,कमरे 106,Room 106
799,799,799,संभाल 106,Handle 106
800,800,800,खोज 106,Search 106
801,801,801,आसपास 105,105 around
802,802,802,कार्यालय 105,Office 105
803,803,803,बढ़िया 105,Great 105
804,804,804,मिशन 105,Mission 105
805,805,805,बर्ट 104,Burt 104
806,806,806,खेद 104,Sorry 104
807,807,807,लेकर 104,Lak 104
808,808,808,डौग 103,Doug 103
809,809,809,चोरी 103,Stolen 103
810,810,810,चेहरे 102,Facial 102
811,811,811,एंडी 102,Andy 102
812,812,812,हम्म 102,Hmm 102
813,813,813,चुके 102,102
814,814,814,जानेमन 102,Swender 102
815,815,815,राष्ट्रपति 101,President 101
816,816,816,हथियार 101,Weapon 101
817,817,817,सरकार 100,Government 100
818,818,818,पूर्व 100,East 100
819,819,819,जंगल 100,Jungle 100
820,820,820,बचाने 100,Save 100
821,821,821,लेना 100,Take 100
822,822,822,मानव 99,Human 99
823,823,823,बेकार 99,Waste 99
824,824,824,ग्रह 98,Planet 98
825,825,825,करके 98,Kar 98
826,826,826,सोचते 98,Thinking 98
827,827,827,लाया 98,Laya 98
828,828,828,गये 98,Gone 98
829,829,829,नेता 98,Leader 98
830,830,830,हा 97,Ha 97
831,831,831,जांच 96,Investigation 96
832,832,832,साथी 96,Partner 96
833,833,833,बैठ 96,Sit 96
834,834,834,साहब 95,Sir 95
835,835,835,प्रार्थना 95,Prayer 95
836,836,836,यीशु 95,Jesus 95
837,837,837,अनुमति 94,Permission 94
